Individual,Animal Set,Strain Rate (1/s),Tube Foot Disc Tenacity (MPa)
Spurp2023-006,CA8,0.8934948013442614,0.1842506030995678
Spurp2023-006,CA8,1.235125166564126,0.1153132889869736
Spurp2023-006,CA8,1.629314049510124,0.2264067617026775
Spurp2023-006,CA8,1.892106638140789,0.1883174253487009
Spurp2023-006,CA8,2.1811784856345207,0.2901236558286155
Spurp2023-007,CA8,0.23826643694252272,0.10333940244114562
Spurp2023-007,CA8,0.5824290680817223,0.19302000285775128
Spurp2023-007,CA8,0.9001176506717525,0.15799561606598883
Spurp2023-007,CA8,1.2442802818109522,0.15924397567179796
Spurp2023-007,CA8,1.64139101004849,0.16886051622891057
Spurp2023-007,CA8,1.9061314955401818,0.18109358577324683
Spurp2023-007,CA8,2.197346029581043,0.22076816246115255
Spurp2023-011,CA8,0.26340990561730404,0.1480649331328187
Spurp2023-011,CA8,0.6438908803978544,0.10717903079292686
Spurp2023-011,CA8,0.9951040878875931,0.15428366502039512
Spurp2023-011,CA8,1.3755850626681436,0.18400657491446273
Spurp2023-011,CA8,1.8146015720303168,0.1695924855601175
Spurp2023-011,CA8,2.1072792449384328,0.2264547271402305
Spurp2023-011,CA8,2.42922468513736,0.15443513659255706
Spurp2023-012,CA8,0.24165472265824492,0.09865937684598489
Spurp2023-012,CA8,0.5907115442757097,0.08812734453323415
Spurp2023-012,CA8,0.9129178411533698,0.2403292686336652
Spurp2023-012,CA8,1.2619746627708346,0.18361454864671084
Spurp2023-012,CA8,1.6647325338679095,0.13443852627630629
Spurp2023-012,CA8,1.9332377812659598,0.13532023430178355
Spurp2023-012,CA8,2.2285935534038144,0.06467419851676359
Spurp2023-013,CA8,0.1955529288693011,0.14073671518279232
Spurp2023-013,CA8,0.47801827056940277,0.06975065699161308
Spurp2023-013,CA8,0.7387555090618043,0.08782349581897415
Spurp2023-013,CA8,1.0212208507619058,0.13431129531174638
Spurp2023-013,CA8,1.3471423988774078,0.16182702623327946
Spurp2023-013,CA8,1.564423430954409,0.1113303193970908
Spurp2023-013,CA8,1.8034325662391104,0.09631287534656678
Spurp2023-014,CA8,0.21036933843517935,0.07606964581060516
Spurp2023-014,CA8,0.5142361606193273,0.09808386172497396
Spurp2023-014,CA8,0.7947286118662331,0.07870399347714502
Spurp2023-014,CA8,1.0985954340503812,0.12647210303257383
Spurp2023-014,CA8,1.4492109981090135,0.10198718974910842
Spurp2023-014,CA8,1.6829547074814348,0.17890355905401498
Spurp2023-014,CA8,1.9400727877910986,0.0632057805316392
Spurp2023-015,CA8,0.25056714016122605,0.11076627770418118
Spurp2023-015,CA8,0.6124974537274414,0.10460840808766196
Spurp2023-015,CA8,0.9465869739424095,0.12733760535175062
Spurp2023-015,CA8,1.3085172875086248,0.05956672952803644
Spurp2023-015,CA8,1.726129187777335,0.13118161876121262
Spurp2023-015,CA8,2.0045371212898084,0.08993422067859813
